goldenlover1;Jane Doe;CA;[petpal4ever,whiskerwatcher]
whiskerwatcher;John Doe;NY;[goldenlover1]
petpal4ever;Great Name;WV;[goldenlover1]
happypuppy23;Alice Smith;TX;[kittylover45,fishfriend67]
kittylover45;Bob Johnson;FL;[happypuppy23,birdbuddy89]
fishfriend67;Carol Williams;OR;[happypuppy23,turtlemaster12]
birdbuddy89;David Brown;AZ;[kittylover45,hamsterhero56]
turtlemaster12;Emily Davis;WA;[fishfriend67,rabbitking78]
hamsterhero56;Frank Miller;CO;[birdbuddy89,guineapigchamp34]
rabbitking78;Grace Wilson;NJ;[turtlemaster12,ferretfriend90]
guineapigchamp34;Henry Taylor;IL;[hamsterhero56,hedgehoghero12]
ferretfriend90;Isabella Anderson;PA;[rabbitking78,mousemaven56]
hedgehoghero12;Jack Thomas;MI;[guineapigchamp34,chinchillachamp78]
mousemaven56;Kate Jackson;OH;[ferretfriend90,gerbilguru34]
chinchillachamp78;Liam White;MN;[hedgehoghero12,ratruler90]
gerbilguru34;Mia Harris;WI;[mousemaven56,hamsterking12]
ratruler90;Noah Martin;IA;[chinchillachamp78,guineapigguru56]
hamsterking12;Olivia Thompson;IN;[gerbilguru34,ferretking78]
guineapigguru56;Peter Garcia;MO;[ratruler90,hedgehogmaster34]
ferretking78;Quinn Martinez;KS;[hamsterking12,mousemaster90]
